DAY,MONTH,ARSON,ASSAULT W/DANGEROUS WEAPON,BURGLARY,HOMICIDE,MOTOR VEHICLE THEFT,ROBBERY,SEX ABUSE,THEFT F/AUTO,THEFT/OTHER
Sunday,May,1.0,12.0,5.0,0.0,12.0,15.0,0.0,24.0,29.0
Monday,May,1.0,6.0,12.0,0.0,6.0,10.0,0.0,11.0,30.0
Tuesday,May,0.0,7.0,16.0,0.0,10.0,10.0,0.0,22.0,29.0
Wednesday,May,0.0,7.0,9.0,0.0,8.0,16.0,0.0,18.0,20.0
Thursday,May,0.0,4.0,14.0,1.0,11.0,11.0,1.0,24.0,38.0
Friday,May,0.0,10.0,12.0,2.0,12.0,15.0,1.0,21.0,36.0
Saturday,May,0.0,6.0,15.0,0.0,12.0,14.0,2.0,9.0,17.0
Sunday,May,0.0,14.0,9.0,2.0,5.0,13.0,0.0,25.0,25.0
Monday,May,0.0,5.0,10.0,1.0,6.0,6.0,0.0,17.0,15.0
Tuesday,June,0.0,9.0,18.0,0.0,11.0,13.0,2.0,26.0,27.0
Wednesday,June,0.0,9.0,13.0,1.0,11.0,9.0,0.0,25.0,28.0
Thursday,June,0.0,8.0,8.0,0.0,8.0,13.0,2.0,14.0,28.0
Friday,June,0.0,7.0,15.0,0.0,12.0,12.0,0.0,22.0,36.0
Saturday,June,0.0,9.0,12.0,1.0,9.0,8.0,1.0,22.0,27.0
Sunday,June,0.0,8.0,10.0,0.0,14.0,17.0,1.0,31.0,25.0
Monday,June,0.0,7.0,14.0,1.0,11.0,14.0,0.0,23.0,23.0
Tuesday,June,0.0,5.0,11.0,1.0,8.0,7.0,0.0,19.0,38.0
Wednesday,June,0.0,8.0,8.0,0.0,8.0,7.0,0.0,20.0,31.0
Thursday,June,0.0,4.0,6.0,1.0,7.0,10.0,0.0,29.0,25.0
Friday,June,0.0,2.0,15.0,0.0,9.0,11.0,0.0,28.0,40.0
Saturday,June,0.0,13.0,9.0,0.0,13.0,11.0,4.0,29.0,29.0
Sunday,June,0.0,4.0,12.0,0.0,9.0,7.0,1.0,35.0,26.0
Monday,June,0.0,7.0,12.0,1.0,9.0,12.0,0.0,18.0,24.0
Tuesday,June,0.0,6.0,8.0,0.0,12.0,12.0,1.0,17.0,29.0
Wednesday,June,0.0,5.0,11.0,0.0,15.0,14.0,1.0,28.0,31.0
Thursday,June,0.0,4.0,13.0,2.0,11.0,13.0,0.0,27.0,38.0
Friday,June,0.0,12.0,12.0,2.0,11.0,9.0,0.0,17.0,40.0
Saturday,June,0.0,7.0,4.0,0.0,16.0,16.0,0.0,19.0,34.0
Sunday,June,0.0,6.0,3.0,0.0,11.0,9.0,0.0,29.0,27.0
