date,DAY,MONTH,ARSON,ASSAULT W/DANGEROUS WEAPON,BURGLARY,HOMICIDE,MOTOR VEHICLE THEFT,ROBBERY,SEX ABUSE,THEFT F/AUTO,THEFT/OTHER,Month,Year,Area,Civilian Labor Force,Employment,Unemployment,Unemployment Rate,State FIPS Code,Area FIPS Code
2010-02-26,Friday,February,0.0,7.0,10.0,0.0,9.0,8.0,0.0,24.0,21.0,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0
2010-02-27,Saturday,February,0.0,6.0,5.0,1.0,9.0,7.0,0.0,25.0,10.0,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0
2010-02-28,Sunday,February,0.0,8.0,6.0,0.0,8.0,8.0,2.0,20.0,16.0,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0
2010-03-01,Monday,March,0.0,1.0,8.0,0.0,7.0,5.0,0.0,21.0,21.0,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0
2010-03-02,Tuesday,March,0.0,4.0,8.0,0.0,4.0,7.0,1.0,15.0,10.0,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0
2010-03-03,Wednesday,March,0.0,4.0,14.0,0.0,5.0,6.0,0.0,15.0,24.0,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0
2010-03-04,Thursday,March,1.0,5.0,11.0,1.0,5.0,14.0,0.0,13.0,22.0,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0
2010-03-05,Friday,March,1.0,9.0,15.0,0.0,10.0,11.0,0.0,26.0,12.0,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0
2010-03-06,Saturday,March,0.0,4.0,7.0,0.0,16.0,7.0,1.0,20.0,16.0,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0
2010-03-07,Sunday,March,0.0,10.0,4.0,0.0,13.0,8.0,2.0,22.0,16.0,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0
2010-03-08,Monday,March,0.0,3.0,12.0,0.0,6.0,10.0,0.0,22.0,28.0,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0
2010-03-09,Tuesday,March,0.0,7.0,9.0,2.0,8.0,5.0,0.0,21.0,27.0,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0
2010-03-10,Wednesday,March,0.0,4.0,10.0,1.0,9.0,8.0,1.0,23.0,24.0,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0
2010-03-11,Thursday,March,0.0,4.0,5.0,0.0,9.0,13.0,2.0,17.0,33.0,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0
2010-03-12,Friday,March,0.0,6.0,7.0,0.0,6.0,12.0,0.0,22.0,31.0,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0
2010-03-13,Saturday,March,0.0,7.0,10.0,0.0,8.0,11.0,1.0,28.0,18.0,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0
2010-03-14,Sunday,March,0.0,6.0,6.0,0.0,7.0,13.0,0.0,26.0,9.0,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0
2010-03-15,Monday,March,0.0,6.0,4.0,0.0,6.0,10.0,0.0,18.0,27.0,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0
2010-03-16,Tuesday,March,0.0,5.0,5.0,1.0,2.0,2.0,0.0,22.0,22.0,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0
2010-03-17,Wednesday,March,0.0,3.0,9.0,0.0,11.0,4.0,0.0,24.0,21.0,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0
2010-03-18,Thursday,March,0.0,5.0,9.0,0.0,8.0,11.0,0.0,28.0,21.0,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0
2010-03-19,Friday,March,0.0,6.0,11.0,0.0,14.0,3.0,0.0,20.0,21.0,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0
2010-03-20,Saturday,March,0.0,8.0,15.0,0.0,13.0,9.0,1.0,18.0,20.0,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0
2010-03-21,Sunday,March,0.0,9.0,9.0,0.0,12.0,4.0,2.0,23.0,16.0,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0
2010-03-22,Monday,March,0.0,4.0,11.0,1.0,8.0,9.0,1.0,31.0,26.0,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0
2010-03-23,Tuesday,March,0.0,11.0,16.0,0.0,6.0,12.0,0.0,15.0,31.0,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0
2010-03-24,Wednesday,March,0.0,12.0,11.0,0.0,12.0,10.0,0.0,17.0,23.0,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0
2010-03-25,Thursday,March,0.0,15.0,10.0,0.0,10.0,23.0,1.0,14.0,26.0,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0
2010-03-26,Friday,March,2.0,7.0,13.0,0.0,8.0,10.0,0.0,25.0,24.0,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0
2010-03-27,Saturday,March,0.0,8.0,7.0,2.0,14.0,10.0,0.0,24.0,13.0,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0
2010-03-28,Sunday,March,0.0,7.0,8.0,0.0,15.0,5.0,2.0,24.0,9.0,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0
2010-03-29,Monday,March,0.0,5.0,9.0,0.0,13.0,9.0,0.0,31.0,18.0,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0
2010-03-30,Tuesday,March,0.0,7.0,11.0,4.0,7.0,10.0,1.0,22.0,9.0,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0
2010-03-31,Wednesday,March,0.0,3.0,3.0,0.0,13.0,11.0,0.0,23.0,32.0,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0
2010-04-01,Thursday,April,0.0,10.0,9.0,0.0,8.0,19.0,1.0,13.0,36.0,4,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,154,334","2,948,983","205,351",6.5,11.0,47900.0
2010-04-02,Friday,April,0.0,11.0,7.0,0.0,10.0,9.0,2.0,27.0,29.0,4,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,154,334","2,948,983","205,351",6.5,11.0,47900.0
2010-04-03,Saturday,April,0.0,10.0,5.0,0.0,7.0,15.0,1.0,18.0,25.0,4,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,154,334","2,948,983","205,351",6.5,11.0,47900.0
2010-04-04,Sunday,April,0.0,2.0,3.0,0.0,7.0,6.0,1.0,34.0,16.0,4,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,154,334","2,948,983","205,351",6.5,11.0,47900.0
2010-04-05,Monday,April,0.0,2.0,6.0,0.0,6.0,8.0,0.0,20.0,25.0,4,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,154,334","2,948,983","205,351",6.5,11.0,47900.0
2010-04-06,Tuesday,April,0.0,8.0,11.0,1.0,7.0,8.0,0.0,17.0,24.0,4,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,154,334","2,948,983","205,351",6.5,11.0,47900.0
2010-04-07,Wednesday,April,0.0,9.0,10.0,0.0,12.0,6.0,1.0,25.0,28.0,4,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,154,334","2,948,983","205,351",6.5,11.0,47900.0
2010-04-08,Thursday,April,1.0,7.0,11.0,0.0,8.0,8.0,0.0,13.0,16.0,4,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,154,334","2,948,983","205,351",6.5,11.0,47900.0
2010-04-09,Friday,April,0.0,6.0,5.0,0.0,12.0,11.0,1.0,10.0,23.0,4,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,154,334","2,948,983","205,351",6.5,11.0,47900.0
2010-04-10,Saturday,April,0.0,7.0,6.0,1.0,11.0,11.0,0.0,24.0,20.0,4,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,154,334","2,948,983","205,351",6.5,11.0,47900.0
2010-04-11,Sunday,April,1.0,10.0,6.0,1.0,9.0,10.0,0.0,20.0,14.0,4,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,154,334","2,948,983","205,351",6.5,11.0,47900.0
2010-04-12,Monday,April,0.0,2.0,13.0,0.0,10.0,6.0,0.0,20.0,22.0,4,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,154,334","2,948,983","205,351",6.5,11.0,47900.0
2010-04-13,Tuesday,April,0.0,5.0,9.0,0.0,3.0,6.0,0.0,34.0,19.0,4,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,154,334","2,948,983","205,351",6.5,11.0,47900.0
2010-04-14,Wednesday,April,0.0,3.0,7.0,1.0,8.0,15.0,1.0,18.0,23.0,4,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,154,334","2,948,983","205,351",6.5,11.0,47900.0
2010-04-15,Thursday,April,0.0,6.0,11.0,0.0,9.0,15.0,0.0,28.0,21.0,4,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,154,334","2,948,983","205,351",6.5,11.0,47900.0
2010-04-16,Friday,April,0.0,11.0,16.0,0.0,13.0,9.0,1.0,32.0,32.0,4,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,154,334","2,948,983","205,351",6.5,11.0,47900.0
2010-04-17,Saturday,April,0.0,12.0,12.0,0.0,16.0,13.0,3.0,37.0,27.0,4,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,154,334","2,948,983","205,351",6.5,11.0,47900.0
2010-04-18,Sunday,April,1.0,8.0,3.0,0.0,5.0,12.0,1.0,43.0,26.0,4,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,154,334","2,948,983","205,351",6.5,11.0,47900.0
2010-04-19,Monday,April,0.0,8.0,11.0,0.0,12.0,4.0,0.0,29.0,20.0,4,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,154,334","2,948,983","205,351",6.5,11.0,47900.0
2010-04-20,Tuesday,April,0.0,9.0,11.0,0.0,7.0,9.0,0.0,21.0,22.0,4,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,154,334","2,948,983","205,351",6.5,11.0,47900.0
2010-04-21,Wednesday,April,0.0,6.0,6.0,0.0,12.0,12.0,1.0,22.0,25.0,4,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,154,334","2,948,983","205,351",6.5,11.0,47900.0
2010-04-22,Thursday,April,0.0,7.0,13.0,0.0,9.0,12.0,0.0,26.0,40.0,4,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,154,334","2,948,983","205,351",6.5,11.0,47900.0
2010-04-23,Friday,April,0.0,11.0,12.0,0.0,19.0,15.0,0.0,19.0,23.0,4,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,154,334","2,948,983","205,351",6.5,11.0,47900.0
2010-04-24,Saturday,April,0.0,4.0,9.0,0.0,15.0,8.0,0.0,32.0,9.0,4,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,154,334","2,948,983","205,351",6.5,11.0,47900.0
