Date,Holiday,Public,labor force,employment,unemployment,unemployment rate,Area,DAY,MONTH,ARSON,ASSAULT W/DANGEROUS WEAPON,BURGLARY,HOMICIDE,MOTOR VEHICLE THEFT,ROBBERY,SEX ABUSE,THEFT F/AUTO,THEFT/OTHER,TOTAL,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,April,August,December,February,January,July,June,March,May,November,October,September
2010-02-21,,True,3094230,2881531,212699,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",Sunday,February,2.0,3.0,4.0,1.0,7.0,9.0,0.0,18.0,27.0,71.0,0.0,0.0,0.0,7.2,-3.3,2.8,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2010-02-22,,True,3094230,2881531,212699,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",Monday,February,1.0,3.0,8.0,0.0,7.0,5.0,0.0,19.0,21.0,64.0,0.0,0.0,0.0,10.0,-0.6,2.8,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2010-02-23,,True,3094230,2881531,212699,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",Tuesday,February,0.0,8.0,11.0,0.0,9.0,7.0,0.0,21.0,23.0,79.0,6.9,0.0,0.0,7.2,1.7,3.3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2010-02-24,,True,3094230,2881531,212699,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",Wednesday,February,0.0,6.0,7.0,1.0,7.0,9.0,0.0,28.0,26.0,84.0,0.0,0.0,0.0,7.2,1.7,2.8,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2010-02-25,,True,3094230,2881531,212699,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",Thursday,February,0.0,3.0,13.0,0.0,7.0,12.0,0.0,19.0,17.0,71.0,0.5,0.0,0.0,7.2,1.1,2.2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2010-02-26,,True,3094230,2881531,212699,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",Friday,February,0.0,7.0,10.0,0.0,9.0,8.0,0.0,24.0,21.0,79.0,0.0,0.0,0.0,5.6,-1.7,0.6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2010-02-27,,True,3094230,2881531,212699,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",Saturday,February,0.0,6.0,5.0,1.0,9.0,7.0,0.0,25.0,10.0,63.0,0.0,0.0,0.0,2.8,-1.1,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2010-02-28,,True,3094230,2881531,212699,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",Sunday,February,0.0,8.0,6.0,0.0,8.0,8.0,2.0,20.0,16.0,68.0,0.0,0.0,0.0,7.2,-1.1,2.8,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2010-03-01,,True,3119495,2908956,210539,6.7,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",Monday,March,0.0,1.0,8.0,0.0,7.0,5.0,0.0,21.0,21.0,63.0,0.0,0.0,0.0,7.8,2.2,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2010-03-02,,True,3119495,2908956,210539,6.7,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",Tuesday,March,0.0,4.0,8.0,0.0,4.0,7.0,1.0,15.0,10.0,49.0,0.0,0.0,0.0,5.0,2.8,3.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2010-03-03,,True,3119495,2908956,210539,6.7,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",Wednesday,March,0.0,4.0,14.0,0.0,5.0,6.0,0.0,15.0,24.0,68.0,2.3,0.0,0.0,6.1,1.7,3.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2010-03-04,,True,3119495,2908956,210539,6.7,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",Thursday,March,1.0,5.0,11.0,1.0,5.0,14.0,0.0,13.0,22.0,72.0,0.0,0.0,0.0,5.6,1.1,2.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2010-03-05,,True,3119495,2908956,210539,6.7,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",Friday,March,1.0,9.0,15.0,0.0,10.0,11.0,0.0,26.0,12.0,84.0,0.0,0.0,0.0,8.9,1.7,3.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2010-03-06,,True,3119495,2908956,210539,6.7,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",Saturday,March,0.0,4.0,7.0,0.0,16.0,7.0,1.0,20.0,16.0,71.0,0.0,0.0,0.0,10.6,0.0,2.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2010-03-07,,True,3119495,2908956,210539,6.7,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",Sunday,March,0.0,10.0,4.0,0.0,13.0,8.0,2.0,22.0,16.0,75.0,0.0,0.0,0.0,12.2,2.2,5.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2010-03-08,,True,3119495,2908956,210539,6.7,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",Monday,March,0.0,3.0,12.0,0.0,6.0,10.0,0.0,22.0,28.0,81.0,0.0,0.0,0.0,14.4,1.7,7.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2010-03-09,,True,3119495,2908956,210539,6.7,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",Tuesday,March,0.0,7.0,9.0,2.0,8.0,5.0,0.0,21.0,27.0,79.0,0.0,0.0,0.0,16.1,1.1,8.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2010-03-10,,True,3119495,2908956,210539,6.7,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",Wednesday,March,0.0,4.0,10.0,1.0,9.0,8.0,1.0,23.0,24.0,80.0,0.0,0.0,0.0,18.9,4.4,7.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2010-03-11,,True,3119495,2908956,210539,6.7,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",Thursday,March,0.0,4.0,5.0,0.0,9.0,13.0,2.0,17.0,33.0,83.0,0.0,0.0,0.0,16.7,6.1,7.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2010-03-12,,True,3119495,2908956,210539,6.7,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",Friday,March,0.0,6.0,7.0,0.0,6.0,12.0,0.0,22.0,31.0,84.0,14.0,0.0,0.0,18.9,7.8,10.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2010-03-13,,True,3119495,2908956,210539,6.7,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",Saturday,March,0.0,7.0,10.0,0.0,8.0,11.0,1.0,28.0,18.0,83.0,19.6,0.0,0.0,11.7,8.3,11.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2010-03-14,,True,3119495,2908956,210539,6.7,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",Sunday,March,0.0,6.0,6.0,0.0,7.0,13.0,0.0,26.0,9.0,67.0,13.5,0.0,0.0,12.2,8.9,8.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
